X,Y,objectid,name,address,address2,municipal,state,zipcode,recordtype,data_year,source,market_id,ebt,coupons,latitude,longitude,prim_type,prim_naics,sqft_range,idx_weight
234208.516999997198582,947538.631700001657009,5558,Destiny Spanish Supermarket,123 Winter St, ,Haverhill,MA,01830,Unverified,2016,ReferenceUSA,0, , ,42.777699,-71.081983,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
227385.514300003647804,940709.500300001353025,5559,Dhasiell Market,139 Park St, ,Lawrence,MA,01841,Unverified,2016,ReferenceUSA,0, , ,42.716496,-71.165684,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
208289.858300000429153,892174.837400000542402,5560,Diamante Market Corp,3 2nd St, ,Framingham,MA,01702,Unverified,2016,ReferenceUSA,0, , ,42.280004,-71.399497,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
238478.372100003063679,902290.932199999690056,5561,Diana's Market,170 Cottage St, ,Boston,MA,02128,Verified,2016,ReferenceUSA,0, , ,42.370173,-71.032836,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
108361.585100002586842,884420.185600001364946,5562,Diaz Groceries,368 High St, ,Holyoke,MA,01040,Unverified,2016,ReferenceUSA,0, , ,42.204866,-72.609703,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
231452.894400000572205,892816.411699999123812,5563,Diaz Market,446 Hyde Park Ave, ,Roslindale,MA,02131,Verified,2016,ReferenceUSA,0, , ,42.285191,-71.118645,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
254539.340499997138977,936398.8618,5564,Didi Davis Food,3 Payne St, ,Ipswich,MA,01938,Unverified,2016,ReferenceUSA,0, , ,42.67626,-70.834617,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
248666.583599999547005,918838.976700000464916,5565,Dilone's Market Inc,34 Boston St, ,Salem,MA,01970,Unverified,2016,ReferenceUSA,0, , ,42.518576,-70.90775,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
265235.201899997889996,852597.305199999362,5566,Dine N Save Mktg Solutions,26 Lukes Way, ,Plymouth,MA,02360,Unverified,2016,ReferenceUSA,0, , ,41.921016,-70.71356,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
229813.767700001597404,828072.635400000959635,5567,Diogo's Family Market,203 Davis St, ,Fall River,MA,02720,Unverified,2016,ReferenceUSA,0, , ,41.702353,-71.141815,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
239791.858999997377396,871227.815699998289347,5568,Dip & Sip Market,235 N Main St, ,Brockton,MA,02301,Unverified,2016,ReferenceUSA,0, , ,42.09045,-71.019016,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
113120.752999998629093,871437.744699999690056,5569,Discount Smoke & Groceries,431 White St, ,Springfield,MA,01108,Unverified,2016,ReferenceUSA,0, , ,42.088535,-72.550142,Supermarkets/Other Grocery (Exc Convenience) Strs,445110,"0 - 2,499",4
